latitude,longitude,pers_param_modelo_a,menor_igualsecu,edad_grupo60,edad_mediana,acu_desacu_tp_unica2,acu_desacu_prefiero_vp2,acu_desacu_act_diarias2,acu_desacu_vivir2,acu_desacu_act_prefiero2,acu_desacu_satis2,valor_norm
19.72587339194699,-101.2319985351363,0.077046214,no,≤60,>42.0,0,0,0,0,0,0,0.5126867721338118
19.727349826792707,-101.23162578806465,1.379626288,no,≤60,>42.0,1,0,1,1,1,1,0.7271753982054525
19.433833611001837,-101.13520618073481,0.447442736,si,≤60,>42.0,1,0,1,1,1,1,0.5736779101768879
19.724883304075448,-101.2314496985134,3.036478199,si,≤60,>42.0,1,0,1,1,1,1,1.0
19.724246590802885,-101.2306589470375,3.036478199,no,≤60,≤42.0,0,0,1,1,1,1,1.0
19.722936704133442,-101.23274642885987,-1.145499243,si,>60,>42.0,1,0,1,0,1,0,0.28513131489935195
19.723595886281597,-101.23291546071526,2.17429346,no,≤60,>42.0,1,0,1,1,1,1,0.8580288277248389
19.72656736049506,-101.23087282377014,0.447442736,no,≤60,≤42.0,0,0,0,1,1,0,0.5736779101768879
19.724609730980035,-101.23213505579855,-0.28465193,si,>60,>42.0,1,0,1,0,1,1,0.4466060005851425
19.72503415568738,-101.2328981906191,3.036478199,si,>60,>42.0,0,0,1,1,1,1,1.0
19.722871342775047,-101.23374670937353,3.036478199,no,≤60,≤42.0,0,1,1,1,1,1,1.0
19.725556801085744,-101.23402383092557,0.077046214,si,≤60,≤42.0,1,1,0,0,0,0,0.5126867721338118
19.725129547757096,-101.230207191036,2.17429346,si,≤60,>42.0,1,0,1,1,1,1,0.8580288277248389
19.72313836403406,-101.22980884121267,0.447442736,no,≤60,>42.0,1,0,0,1,1,1,0.5736779101768879
19.72424921924976,-101.23092521672262,0.077046214,si,>60,>42.0,1,0,0,0,1,1,0.5126867721338118
19.724628494933,-101.23162845434992,0.447442736,no,>60,>42.0,1,0,1,1,0,1,0.5736779101768879
19.72288439447704,-101.23115833345287,-0.672622264,si,≤60,>42.0,0,0,0,0,0,0,0.37383190140170086
19.724531655916753,-101.23204540577552,-0.672622264,si,≤60,>42.0,1,1,1,0,1,1,0.37383190140170086
19.724850561798927,-101.23233543838245,-1.145499243,si,>60,>42.0,1,0,1,1,0,1,0.28513131489935195
19.724261235214506,-101.23069981654795,3.036478199,si,>60,>42.0,1,1,1,1,1,1,1.0
19.72447071482114,-101.22994230433811,2.17429346,no,≤60,>42.0,1,0,1,1,1,1,0.8580288277248389
19.724005913225486,-101.22959677162517,0.077046214,si,>60,>42.0,0,0,1,1,1,1,0.5126867721338118
19.72542412485999,-101.23214915135844,-2.665579776,si,>60,>42.0,1,0,0,0,0,0,0.0
19.725452305401703,-101.22967105774107,0.077046214,si,≤60,>42.0,0,0,0,0,0,1,0.5126867721338118
19.72596114870362,-101.23082867816495,0.077046214,no,≤60,>42.0,0,0,1,0,0,0,0.5126867721338118
19.72644320701183,-101.23104689258889,-0.672622264,no,≤60,>42.0,0,0,1,0,0,0,0.37383190140170086
19.724726854409482,-101.23182946002073,-1.145499243,si,>60,>42.0,0,1,0,0,1,1,0.28513131489935195
19.725804747820387,-101.23204499664955,2.17429346,si,>60,>42.0,1,1,1,1,1,1,0.8580288277248389
19.726324168159763,-101.23145666428495,2.17429346,no,≤60,≤42.0,1,0,1,0,1,1,0.8580288277248389
19.72418168534934,-101.2300338254091,-0.672622264,si,>60,>42.0,0,0,1,1,0,1,0.37383190140170086
19.7260173349691,-101.22751619583018,0.447442736,no,≤60,≤42.0,0,0,1,1,1,1,0.5736779101768879
19.724253212553677,-101.23321730302325,0.447442736,no,>60,>42.0,0,0,1,1,0,1,0.5736779101768879
19.722745323941734,-101.23188364494966,0.077046214,no,≤60,≤42.0,1,0,1,0,0,1,0.5126867721338118
19.725141155577628,-101.23503102360036,0.861787681,si,>60,>42.0,1,1,1,1,0,1,0.6419057909396174
19.725253729834975,-101.2344778737969,-1.145499243,si,>60,>42.0,1,0,1,0,1,1,0.28513131489935195
19.724266147136607,-101.23150964314046,0.077046214,no,≤60,>42.0,0,0,1,1,1,1,0.5126867721338118
19.722619729461634,-101.23247310747618,0.447442736,si,≤60,>42.0,1,0,1,0,0,1,0.5736779101768879
19.721483367456006,-101.23256939975174,-0.28465193,no,≤60,≤42.0,1,1,1,1,1,1,0.4466060005851425
19.724026644346075,-101.23283678027074,3.036478199,no,≤60,>42.0,0,0,1,1,1,1,1.0
19.723028953265327,-101.23297212621229,2.17429346,no,>60,>42.0,1,0,1,1,1,1,0.8580288277248389
19.722485890890567,-101.23264312241905,-0.28465193,no,≤60,≤42.0,0,0,1,1,1,1,0.4466060005851425
19.723057569457822,-101.2338516656489,0.861787681,si,>60,>42.0,1,0,0,0,0,0,0.6419057909396174
19.721069444021257,-101.23265808721078,-0.672622264,si,≤60,≤42.0,1,1,1,1,1,1,0.37383190140170086
19.72442478836536,-101.23224369732522,2.17429346,si,≤60,≤42.0,1,0,1,1,1,1,0.8580288277248389
19.72242813744736,-101.23168102224919,2.17429346,si,≤60,≤42.0,1,0,1,1,1,1,0.8580288277248389
19.724167982336883,-101.232849575455,0.861787681,si,≤60,>42.0,1,0,1,1,1,1,0.6419057909396174
19.7222606318221,-101.23293553395699,0.861787681,no,≤60,≤42.0,1,1,1,1,1,1,0.6419057909396174
19.723163809310737,-101.23178884755794,-1.145499243,si,≤60,>42.0,0,0,0,0,0,0,0.28513131489935195
19.722996461463687,-101.2306614545249,2.17429346,no,≤60,>42.0,0,0,1,1,1,1,0.8580288277248389
